,group,var,modelType,R2_mean,R2_std,RMSE_mean,RMSE_std
0,group1,Vol(aq),GPyModel,0.9999999913596109,1.5227104010691784e-08,-2.1017525014606084e-06,2.0285474899713125e-06
1,group1,pH,CONST,0.0,0.0,0.0,0.0
2,group1,nCa(aq),GPyModel,0.999999961819986,4.248904766546274e-08,-1.0067051486098572e-07,5.5285065146925514e-08
3,group1,nCa(s),linear,0.9999999999993872,1.9662423389282562e-13,-2.6559252970291585e-07,2.6130220659150204e-08
4,group1,nSi(aq),GPyModel,0.9999999864184007,1.6087378174454193e-08,-9.316457732357411e-11,5.7081519098290754e-11
5,group1,nSi(s_reac),linear,0.9999999999999515,1.1082673095553777e-14,-2.8526469711142172e-08,2.2225980938252286e-09
6,group1,nPortlandite,GPyModel,0.9999999940032935,8.154719035840703e-09,-2.3621495870810596e-05,1.7758055264233207e-05
7,group1,nAmor-Sl,CONST,0.0,0.0,0.0,0.0
8,group1,mCSHQ,linear,0.999999999999666,1.2735087586909645e-13,-1.503056946787685e-08,3.000310786799262e-09
9,group1,nCa(CSHQ),linear,0.9999999999997383,1.4597015833524015e-13,-1.0553730559803162e-07,3.451958488852943e-08
10,group1,nSi(CSHQ),linear,0.9999999999999515,1.1082673095553777e-14,-2.8526469711142172e-08,2.2225980938252286e-09
11,group1,nH2O(CSHQ),linear,0.9999999999996112,1.613328983741405e-13,-2.2967276382560133e-07,4.685449213046807e-08
12,group1,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
13,group1,nGelPW(CSH),linear,0.9999999999999556,1.892648610544351e-14,-3.289701324329521e-08,4.1285402796502774e-09
14,group2,Vol(aq),GPyModel,0.9999972176593065,2.304493426795878e-06,-3.686223498527647e-05,1.4593939710322527e-05
15,group2,pH,GPyModel,0.9424077401659634,0.0808818671215381,-0.10691580917426306,0.10930788777156056
16,group2,nCa(aq),GPyModel,0.9801040869138375,0.016176515037526252,-5.79021626430329e-05,3.448971585132858e-05
17,group2,nCa(s),linear,0.999998487892098,1.1333137156342624e-06,-0.0002259841451879188,5.83753047488849e-05
18,group2,nSi(aq),GPyModel,-4.540902649717056,11.590138094376462,-2.7748644053523088e-05,1.8580706881122337e-05
19,group2,nSi(s_reac),linear,0.9999999540021512,4.672588232730937e-08,-2.5978571408897274e-05,1.504274335057522e-05
20,group2,nPortlandite,CONST,0.0,0.0,0.0,0.0
21,group2,nAmor-Sl,CONST,0.0,0.0,0.0,0.0
22,group2,mCSHQ,GPyModel,0.999999738096184,1.8075886260845348e-07,-1.2406354614715755e-05,6.2731798529057346e-06
23,group2,nCa(CSHQ),linear,0.999998487892098,1.1333137156342624e-06,-0.0002259841451879188,5.83753047488849e-05
24,group2,nSi(CSHQ),linear,0.9999999540021512,4.672588232730937e-08,-2.5978571408897274e-05,1.504274335057522e-05
25,group2,nH2O(CSHQ),GPyModel,0.9999976148003412,2.8067197033044797e-06,-0.0005064328858272006,0.0003957469496129024
26,group2,C/S(CSHQ),GPyModel,0.9999338077477986,0.00012756544547923456,-0.0014977887177469271,0.0017473134702990294
27,group2,nGelPW(CSH),linear,0.9925248273875884,0.003496569523339491,-0.011671222188790093,0.001935126494336009
28,group3,Vol(aq),linear,0.9999999999996149,2.4083966508530355e-13,-1.5748314976068518e-08,7.0698913839849155e-09
29,group3,pH,CONST,0.0,0.0,0.0,0.0
30,group3,nCa(aq),linear,0.9999998241475302,1.0098889143606204e-07,-1.0945331419019413e-08,3.5474451117549097e-09
31,group3,nCa(s),linear,0.9999999999997558,1.9298547650302204e-13,-3.140449889195025e-08,8.982889481833277e-09
32,group3,nSi(aq),linear,0.9999998915168739,6.246567904138363e-08,-3.149895960370048e-08,9.954761955349734e-09
33,group3,nSi(s_reac),linear,0.9999999999996962,2.7123090463577553e-13,-4.344648750408485e-08,1.4400857952442462e-08
34,group3,nPortlandite,CONST,0.0,0.0,0.0,0.0
35,group3,nAmor-Sl,GPyModel,0.9999806412286416,3.949183875608845e-05,-0.0003481710813517767,0.0003719622096383045
36,group3,mCSHQ,linear,0.9999999999998472,1.8013717718338767e-13,-3.8127741449763245e-09,1.3372019859074483e-09
37,group3,nCa(CSHQ),linear,0.9999999999997558,1.9298547650302204e-13,-3.140449889195025e-08,8.982889481833277e-09
38,group3,nSi(CSHQ),linear,0.9999999999998048,1.5681442568466608e-13,-4.255093898571199e-08,1.3711505105176726e-08
39,group3,nH2O(CSHQ),linear,0.9999999999998075,1.9903691215585832e-13,-7.044330945361474e-08,6.743941452135872e-08
40,group3,C/S(CSHQ),CONST,0.0,0.0,0.0,0.0
41,group3,nGelPW(CSH),linear,0.999999999999701,2.323289770366197e-13,-2.5363877893397855e-08,7.198149398198804e-09
