Var,R2,RMSE,modelSimulation
Vol(aq),0.9915042402386003,8.080632901757934e-06,rfModel_simulation
pH,0.9906986976074468,0.007314907667189292,rfModel_simulation
nCa(aq),0.9694844610823522,1.6605217979938464e-08,rfModel_simulation
nCa(s),0.9999999334035933,1.6014509756938e-08,rfModel_simulation
nSi(aq),0.9786274403983605,3.207268679971217e-10,rfModel_simulation
nSi(s_reac),0.9999999870200134,2.7034009541263706e-10,rfModel_simulation
nPortlandite,0.9952539397851704,0.0007027867521248334,rfModel_simulation
nAmor-Sl,0.9615077842041959,0.00020752036709164464,rfModel_simulation
mCSHQ,0.9988346614772065,1.0425502613582787e-06,rfModel_simulation
nCa(CSHQ),0.9999997393132543,1.7163745910797037e-08,rfModel_simulation
nSi(CSHQ),0.9999999874938753,2.7034009953003966e-10,rfModel_simulation
nH2O(CSHQ),0.9988872486325124,0.00021023526278988918,rfModel_simulation
C/S(CSHQ),0.9879227725916826,0.0015490796423065318,rfModel_simulation
nGelPW(CSH),0.9990502647833785,3.530164848763614e-05,rfModel_simulation
Vol(aq),0.9919768230140706,7.631141857811493e-06,lgbModel_simulation
pH,0.978396843630502,0.01698956635247636,lgbModel_simulation
nCa(aq),0.9627860579406099,2.0250195202405582e-08,lgbModel_simulation
nCa(s),0.9999999334035933,1.6014509756938e-08,lgbModel_simulation
nSi(aq),0.9825559860399615,2.6177323011287855e-10,lgbModel_simulation
nSi(s_reac),0.9999999870200134,2.7034009541263706e-10,lgbModel_simulation
nPortlandite,0.9944611462957973,0.0008201819675840426,lgbModel_simulation
nAmor-Sl,0.8837841555386312,0.0006265462823035943,lgbModel_simulation
mCSHQ,0.9951456220769687,4.342886529019936e-06,lgbModel_simulation
nCa(CSHQ),0.9999997393132543,1.7163745910797037e-08,lgbModel_simulation
nSi(CSHQ),0.9999999874938753,2.7034009953003966e-10,lgbModel_simulation
nH2O(CSHQ),0.9942819635565023,0.001080324796234692,lgbModel_simulation
C/S(CSHQ),0.970519492927293,0.0037813027615720366,lgbModel_simulation
nGelPW(CSH),0.9990502647833785,3.530164848763614e-05,lgbModel_simulation
Vol(aq),0.9901716596905581,9.348099793851194e-06,gbModel_simulation
pH,0.9774100629625367,0.017765609230053717,gbModel_simulation
nCa(aq),0.9552081695414153,2.4373749730996987e-08,gbModel_simulation
nCa(s),0.9999999334035933,1.6014509756938e-08,gbModel_simulation
nSi(aq),0.9840792530581911,2.389143555098288e-10,gbModel_simulation
nSi(s_reac),0.9999999870200134,2.7034009541263706e-10,gbModel_simulation
nPortlandite,0.9894384573526984,0.0015639313279954936,gbModel_simulation
nAmor-Sl,0.8165840117371378,0.000988837676082421,gbModel_simulation
mCSHQ,0.9926556763725799,6.570474044667779e-06,gbModel_simulation
nCa(CSHQ),0.9999997393132543,1.7163745910797037e-08,gbModel_simulation
nSi(CSHQ),0.9999999874938753,2.7034009953003966e-10,gbModel_simulation
nH2O(CSHQ),0.9922201967084355,0.001469860237645544,gbModel_simulation
C/S(CSHQ),0.9650027342314902,0.004488907106365637,gbModel_simulation
nGelPW(CSH),0.9990502647833785,3.530164848763614e-05,gbModel_simulation
Vol(aq),0.9996156296992225,3.6558888035338743e-07,GPyModel_simulation
pH,0.9966293463100891,0.002650813776306052,GPyModel_simulation
nCa(aq),0.9980232820359638,1.0756432244655135e-09,GPyModel_simulation
nCa(s),0.9999999334035933,1.6014509756938e-08,GPyModel_simulation
nSi(aq),0.9780388893792025,3.2955894653845746e-10,GPyModel_simulation
nSi(s_reac),0.9999999870200134,2.7034009541263706e-10,GPyModel_simulation
nPortlandite,0.9995629023777877,6.472450925005774e-05,GPyModel_simulation
nAmor-Sl,0.9835466214496208,8.870393886352136e-05,GPyModel_simulation
mCSHQ,0.9998500867261447,1.3411735712999897e-07,GPyModel_simulation
nCa(CSHQ),0.9999997393132543,1.7163745910797037e-08,GPyModel_simulation
nSi(CSHQ),0.9999999874938753,2.7034009953003966e-10,GPyModel_simulation
nH2O(CSHQ),0.9998025060027153,3.731309943237296e-05,GPyModel_simulation
C/S(CSHQ),0.9993958977682076,7.74848760814956e-05,GPyModel_simulation
nGelPW(CSH),0.9990502647833785,3.530164848763614e-05,GPyModel_simulation
